t,xx,xy,xz,yx,yy,yz,zx,zy,zz
0.237,0.06946265,0.254239202,0,0.254239202,0.930537164,0,0,0,0
0.238,0.070245951,0.255561084,0,0.255561084,0.929754078,0,0,0,0
0.239,0.070989609,0.256807476,0,0.256807476,0.929010451,0,0,0,0
0.24,0.071672551,0.257944942,0,0.257944942,0.928327441,0,0,0,0
0.241,0.07228253,0.258955121,0,0.258955121,0.927717328,0,0,0,0
0.242,0.07281445,0.259831637,0,0.259831637,0.927185357,0,0,0,0
0.243,0.073275074,0.260587454,0,0.260587454,0.926724613,0,0,0,0
0.244,0.073678896,0.261247635,0,0.261247635,0.926321209,0,0,0,0
0.245,0.074047931,0.261848867,0,0.261848867,0.925952017,0,0,0,0
0.246,0.074408732,0.26243487,0,0.26243487,0.925591171,0,0,0,0
0.247,0.074788258,0.263049364,0,0.263049364,0.925211608,0,0,0,0
0.248,0.07521148,0.263732225,0,0.263732225,0.924788296,0,0,0,0
0.249,0.075696729,0.264512271,0,0.264512271,0.924303293,0,0,0,0
0.25,0.076254621,0.265405059,0,0.265405059,0.923745275,0,0,0,0
0.251,0.076886877,0.266411871,0,0.266411871,0.923113167,0,0,0,0
0.252,0.077584587,0.267516732,0,0.267516732,0.922415197,0,0,0,0
0.253,0.078330874,0.26869151,0,0.26869151,0.921668947,0,0,0,0
0.254,0.079102248,0.269898266,0,0.269898266,0.920897663,0,0,0,0
0.255,0.07987158,0.271094263,0,0.271094263,0.920128286,0,0,0,0
0.256,0.080612928,0.272239745,0,0.272239745,0.919386983,0,0,0,0
0.257,0.081301101,0.273296952,0,0.273296952,0.918698788,0,0,0,0
0.258,0.081920683,0.274243832,0,0.274243832,0.918079257,0,0,0,0
0.259,0.082462706,0.275068373,0,0.275068373,0.917537332,0,0,0,0
0.26,0.08292947,0.275775552,0,0.275775552,0.917070389,0,0,0,0
0.261,0.083331525,0.276382655,0,0.276382655,0.916668475,0,0,0,0
0.262,0.083690368,0.276922882,0,0.276922882,0.916309655,0,0,0,0
0.263,0.084029794,0.277432501,0,0.277432501,0.915970206,0,0,0,0
0.264,0.084379941,0.277956724,0,0.277956724,0.91561985,0,0,0,0
0.265,0.084766433,0.278533816,0,0.278533816,0.915233553,0,0,0,0
0.266,0.085210472,0.279194623,0,0.279194623,0.914789498,0,0,0,0
0.267,0.085726418,0.279959619,0,0.279959619,0.914273441,0,0,0,0
