t,xx,xy,xz,yx,yy,yz,zx,zy,zz
0.0074,0.0189932901,0.1365010738,0,0.1365010738,0.9810066223,0,0,0,0
0.00745,0.0192271117,0.1373223364,0,0.1373223364,0.9807726145,0,0,0,0
0.0075,0.0194630381,0.1381456703,0,0.1381456703,0.9805368781,0,0,0,0
0.00755,0.0197017323,0.1389732808,0,0.1389732808,0.9802981615,0,0,0,0
0.0076,0.0199432373,0.1398052424,0,0.1398052424,0.9800568223,0,0,0,0
0.00765,0.0201884564,0.1406445056,0,0.1406445056,0.9798112512,0,0,0,0
0.0077,0.0204383582,0.1414942741,0,0.1414942741,0.9795615673,0,0,0,0
0.00775,0.0206918623,0.1423506439,0,0.1423506439,0.9793080688,0,0,0,0
0.0078,0.0209499095,0.1432166547,0,0.1432166547,0.9790500402,0,0,0,0
0.00785,0.0212125685,0.1440923065,0,0.1440923065,0.978787303,0,0,0,0
0.0079,0.0214796625,0.1449768394,0,0.1449768394,0.9785202742,0,0,0,0
0.00795,0.0217507761,0.1458687037,0,0.1458687037,0.9782491922,0,0,0,0
0.008,0.0220254865,0.1467663646,0,0.1467663646,0.9779744744,0,0,0,0
0.00805,0.0223040394,0.1476704627,0,0.1476704627,0.9776958227,0,0,0,0
0.0081,0.0225855466,0.1485780478,0,0.1485780478,0.9774143696,0,0,0,0
0.00815,0.0228693075,0.1494867951,0,0.1494867951,0.9771305919,0,0,0,0
0.0082,0.023154838,0.1503951102,0,0.1503951102,0.9768450856,0,0,0,0
0.00825,0.0234423652,0.1513037235,0,0.1513037235,0.976557374,0,0,0,0
0.0083,0.0237304587,0.1522081345,0,0.1522081345,0.9762692451,0,0,0,0
0.00835,0.0240190737,0.1531083137,0,0.1531083137,0.9759808183,0,0,0,0
0.0084,0.0243079383,0.1540034413,0,0.1540034413,0.9756919742,0,0,0,0
0.00845,0.0245970413,0.154893592,0,0.154893592,0.9754028916,0,0,0,0
0.0085,0.024885593,0.1557764262,0,0.1557764262,0.9751141071,0,0,0,0
0.00855,0.0251743123,0.1566542685,0,0.1566542685,0.9748253822,0,0,0,0
0.0086,0.025462687,0.1575256586,0,0.1575256586,0.9745371938,0,0,0,0
0.00865,0.0257519148,0.1583942771,0,0.1583942771,0.9742478132,0,0,0,0
0.0087,0.0260415021,0.1592587084,0,0.1592587084,0.9739583731,0,0,0,0
0.00875,0.0263319332,0.1601204425,0,0.1601204425,0.9736678004,0,0,0,0
0.0088,0.0266234707,0.1609802991,0,0.1609802991,0.9733764529,0,0,0,0
0.00885,0.0269178879,0.1618434787,0,0.1618434787,0.973082006,0,0,0,0
0.0089,0.0272136927,0.1627055705,0,0.1627055705,0.9727860093,0,0,0,0
0.00895,0.027513206,0.1635733098,0,0.1635733098,0.9724866748,0,0,0,0
0.009,0.0278157014,0.1644444764,0,0.1644444764,0.9721842408,0,0,0,0
0.00905,0.0281224884,0.1653227508,0,0.1653227508,0.9718773961,0,0,0,0
0.0091,0.0284331236,0.1662067324,0,0.1662067324,0.9715667963,0,0,0,0
0.00915,0.0287484266,0.1670986414,0,0.1670986414,0.9712516665,0,0,0,0
0.0092,0.0290671177,0.1679947078,0,0.1679947078,0.9709328413,0,0,0,0
0.00925,0.0293908231,0.1688993871,0,0.1688993871,0.9706092477,0,0,0,0
0.0093,0.0297190305,0.1698110849,0,0.1698110849,0.9702808261,0,0,0,0
0.00935,0.0300510041,0.1707276702,0,0.1707276702,0.9699488878,0,0,0,0
0.0094,0.03038623,0.1716476232,0,0.1716476232,0.9696137309,0,0,0,0
0.00945,0.0307252426,0.1725722849,0,0.1725722849,0.9692745209,0,0,0,0
0.0095,0.0310664345,0.1734973043,0,0.1734973043,0.9689335823,0,0,0,0
0.00955,0.0314097703,0.1744224429,0,0.1744224429,0.9685900211,0,0,0,0
0.0096,0.0317544602,0.175345704,0,0.175345704,0.9682456255,0,0,0,0
0.00965,0.0321001522,0.1762660742,0,0.1762660742,0.9678997397,0,0,0,0
0.0097,0.0324460082,0.1771814376,0,0.1771814376,0.9675539136,0,0,0,0
0.00975,0.0327919796,0.1780917197,0,0.1780917197,0.9672079086,0,0,0,0
0.0098,0.0331366286,0.1789932698,0,0.1789932698,0.9668633342,0,0,0,0
0.00985,0.0334810168,0.1798889488,0,0.1798889488,0.9665188789,0,0,0,0
0.0099,0.0338234082,0.1807743907,0,0.1807743907,0.9661764503,0,0,0,0
0.00995,0.034164872,0.1816525012,0,0.1816525012,0.9658350348,0,0,0,0
0.01,0.0345045254,0.1825211197,0,0.1825211197,0.965495348,0,0,0,0
